drg,Description,RW,GMLOS,AMLOS,national_payment_rate
001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,28.9651,30.2,39.2,"$170,646.44 "
002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,15.931,16.4,19.1,"$93,856.69 "
3,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES",18.9911,22.4,30.2,"$111,885.12 "
4,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURES",11.862,19.9,24.5,"$69,884.38 "
005,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,10.2233,14.4,19.4,"$60,230.06 "
006,LIVER TRANSPLANT WITHOUT MCC,4.6917,7.5,8.1,"$27,640.92 "
007,LUNG TRANSPLANT,11.5743,17.4,20.8,"$68,189.41 "
008,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,5.4268,9,10.2,"$31,971.72 "
010,PANCREAS TRANSPLANT,3.6177,8,9.1,"$21,313.50 "
011,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",5.0164,10.9,13.8,"$29,553.87 "
012,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",3.8319,8.3,9.4,"$22,575.45 "
013,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",2.7205,6,6.8,"$16,027.69 "
014,ALLOGENEIC BONE MARROW TRANSPLANT,12.7788,24.1,27.2,"$75,285.66 "
016,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,6.7262,17.1,18.3,"$39,627.07 "
017,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,4.8302,8.9,11.6,"$28,456.88 "
018,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL IMMUNOTHERAPY,37.329,15.6,17.6,"$219,921.94 "
019,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,6.6619,11,12.9,"$39,248.25 "
020,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,10.3201,12.7,16.1,"$60,800.35 "
021,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,7.5316,10,12.3,"$44,372.04 "
022,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,4.8596,4,5.8,"$28,630.09 "
23,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY WITH NEUROSTIMULATOR,5.6623,7.1,9.8,"$33,359.16 "
24,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MCC,3.9325,4.1,5.2,"$23,168.13 "
25,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,4.4917,6.6,8.8,"$26,462.63 "
26,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,3.058,3.8,5.3,"$18,016.05 "
27,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,2.5118,1.9,2.5,"$14,798.14 "
28,SPINAL PROCEDURES WITH MCC,5.82,9.3,12.2,"$34,288.24 "
29,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,3.295,4.5,6,"$19,412.33 "
30,SPINAL PROCEDURES WITHOUT CC/MCC,2.3571,2.4,3.1,"$13,886.74 "
31,VENTRICULAR SHUNT PROCEDURES WITH MCC,4.3661,7.2,10.3,"$25,722.66 "
32,VENTRICULAR SHUNT PROCEDURES WITH CC,2.2122,3,4.3,"$13,033.07 "
33,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,1.7207,1.7,2.2,"$10,137.42 "
034,CAROTID ARTERY STENT PROCEDURES WITH MCC,3.9746,4.7,7,"$23,416.16 "
035,CAROTID ARTERY STENT PROCEDURES WITH CC,2.3371,2.1,3,"$13,768.91 "
036,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,1.8512,1.2,1.4,"$10,906.25 "
037,EXTRACRANIAL PROCEDURES WITH MCC,3.2747,5,7.3,"$19,292.73 "
038,EXTRACRANIAL PROCEDURES WITH CC,1.6573,2.1,3,"$9,763.90 "
039,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,1.139,1.2,1.4,"$6,710.36 "
40,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",3.9578,7.1,10.4,"$23,317.18 "
41,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUROSTIMULATOR",2.3511,3.9,4.9,"$13,851.39 "
42,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC",1.8849,2.4,3,"$11,104.79 "
052,SPINAL DISORDERS AND INJURIES WITH CC/MCC,1.8451,4.2,6,"$10,870.31 "
053,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,1.1361,2.8,3.7,"$6,693.28 "
54,NERVOUS SYSTEM NEOPLASMS WITH MCC,1.3658,3.8,5.2,"$8,046.54 "
55,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,1.0434,3,4.1,"$6,147.14 "
56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,2.1873,5.5,8.3,"$12,886.37 "
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,1.2642,3.9,5.8,"$7,447.97 "
058,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC,1.7367,4.9,7.1,"$10,231.68 "
059,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,1.1265,3.6,4.6,"$6,636.72 "
060,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,0.9156,3,3.6,"$5,394.21 "
061,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH MCC",2.8882,4.7,6.2,"$17,015.69 "
062,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH CC",1.9872,3.2,3.7,"$11,707.49 "
063,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITHOUT CC/MCC",1.7099,2.3,2.6,"$10,073.79 "
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,1.913,4.4,6.1,"$11,270.34 "
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,1.0182,2.9,3.6,"$5,998.67 "
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,0.7109,2,2.4,"$4,188.23 "
067,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC,1.4246,3.3,4.4,"$8,392.96 "
068,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,0.8886,2.1,2.6,"$5,235.14 "
069,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,0.7861,2,2.5,"$4,631.27 "
70,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,1.6764,4.5,6.2,"$9,876.43 "
71,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,1.0108,3.3,4.3,"$5,955.08 "
72,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,0.7712,2.3,2.9,"$4,543.49 "
073,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,1.4494,3.7,5.1,"$8,539.07 "
074,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,1.0184,2.9,3.7,"$5,999.85 "
075,VIRAL MENINGITIS WITH CC/MCC,1.626,4.7,6.1,"$9,579.50 "
076,VIRAL MENINGITIS WITHOUT CC/MCC,0.9809,3,3.6,"$5,778.92 "
077,HYPERTENSIVE ENCEPHALOPATHY WITH MCC,1.5319,4,5.2,"$9,025.11 "
078,HYPERTENSIVE ENCEPHALOPATHY WITH CC,0.949,2.8,3.5,"$5,590.99 "
079,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC,0.7268,2,2.4,"$4,281.91 "
080,NONTRAUMATIC STUPOR AND COMA WITH MCC,2.092,5.1,7.5,"$12,324.91 "
081,NONTRAUMATIC STUPOR AND COMA WITHOUT MCC,0.772,2.5,3.3,"$4,548.20 "
082,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,2.2581,4.2,6.4,"$13,303.48 "
083,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,1.3417,3.3,4.3,"$7,904.56 "
084,TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,0.9042,2.1,2.6,"$5,327.05 "
85,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,2.3064,4.6,6.5,"$13,588.04 "
86,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,1.2729,3,3.9,"$7,499.23 "
87,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,0.8626,2,2.4,"$5,081.96 "
088,CONCUSSION WITH MCC,1.4593,3.6,4.7,"$8,597.39 "
089,CONCUSSION WITH CC,1.0612,2.7,3.3,"$6,252.01 "
090,CONCUSSION WITHOUT CC/MCC,0.8548,1.9,2.3,"$5,036.01 "
91,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,1.6489,4.2,5.8,"$9,714.41 "
92,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,0.9861,3,3.9,"$5,809.56 "
93,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC,0.7813,2.2,2.8,"$4,602.99 "
094,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC,3.6331,8,10.7,"$21,404.23 "
095,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC,2.508,5.8,7.2,"$14,775.76 "
096,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC,2.3315,4.2,5,"$13,735.92 "
097,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC,3.7526,8.7,11.9,"$22,108.26 "
098,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC,2.1109,5.6,7.3,"$12,436.26 "
099,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC,1.3973,3.9,4.7,"$8,232.12 "
100,SEIZURES WITH MCC,1.8736,4.3,6,"$11,038.22 "
101,SEIZURES WITHOUT MCC,0.887,2.6,3.4,"$5,225.72 "
102,HEADACHES WITH MCC,1.1517,3,4.1,"$6,785.18 "
103,HEADACHES WITHOUT MCC,0.8282,2.3,3,"$4,879.30 "
113,ORBITAL PROCEDURES WITH CC/MCC,2.1918,4.5,6.3,"$12,912.88 "
114,ORBITAL PROCEDURES WITHOUT CC/MCC,1.4455,2.3,2.8,"$8,516.09 "
115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,1.4533,3.5,4.5,"$8,562.04 "
116,INTRAOCULAR PROCEDURES WITH CC/MCC,1.8772,4.1,6.1,"$11,059.43 "
117,INTRAOCULAR PROCEDURES WITHOUT CC/MCC,1.0389,2.1,2.8,"$6,120.63 "
121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC,1.1887,4.2,5.5,"$7,003.17 "
122,ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC,0.6438,3,3.8,"$3,792.92 "
123,NEUROLOGICAL EYE DISORDERS,0.7653,2,2.5,"$4,508.73 "
124,OTHER DISORDERS OF THE EYE WITH MCC,1.3988,3.7,5.1,"$8,240.96 "
125,OTHER DISORDERS OF THE EYE WITHOUT MCC,0.8354,2.5,3.3,"$4,921.72 "
130,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,,,,"$68,623.00 "
131,CRANIAL/FACIAL PROCEDURES W CC/MCC,,,,"$106,087.00 "
132,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,,,,"$47,349.25 "
133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",,,,"$72,142.00 "
134,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",,,,"$29,632.30 "
135,SINUS AND MASTOID PROCEDURES WITH CC/MCC,2.1406,4,5.7,"$12,611.24 "
136,SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC,1.2555,1.6,2.2,"$7,396.72 "
137,MOUTH PROCEDURES WITH CC/MCC,1.4686,3.8,5,"$8,652.18 "
138,MOUTH PROCEDURES WITHOUT CC/MCC,0.8431,2,2.4,"$4,967.08 "
139,SALIVARY GLAND PROCEDURES,1.2268,2.3,3.2,"$7,227.63 "
140,MAJOR HEAD AND NECK PROCEDURES WITH MCC,3.9806,7,9.2,"$23,451.51 "
141,MAJOR HEAD AND NECK PROCEDURES WITH CC,2.2075,3.3,4.4,"$13,005.38 "
142,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,1.6088,2.1,2.7,"$9,478.16 "
143,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH MCC",2.9638,5.8,8,"$17,461.08 "
144,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC",1.7505,3.1,4.2,"$10,312.98 "
145,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC",1.2135,1.9,2.4,"$7,149.27 "
146,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC",2.0331,5,7.4,"$11,977.91 "
147,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC",1.3011,3.4,4.9,"$7,665.37 "
148,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC",0.7863,2.1,3,"$4,632.45 "
149,DYSEQUILIBRIUM,0.7355,2,2.4,"$4,333.16 "
150,EPISTAXIS WITH MCC,1.3247,3.4,4.6,"$7,804.40 "
151,EPISTAXIS WITHOUT MCC,0.737,2.1,2.6,"$4,342.00 "
152,OTITIS MEDIA AND URI WITH MCC,1.0769,3.1,4,"$6,344.50 "
153,OTITIS MEDIA AND URI WITHOUT MCC,0.7106,2.3,2.8,"$4,186.46 "
154,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC",1.5425,3.9,5.3,"$9,087.56 "
155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",0.9068,2.8,3.5,"$5,342.37 "
156,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC",0.6576,2.1,2.5,"$3,874.22 "
157,DENTAL AND ORAL DISEASES WITH MCC,1.5724,4.3,5.8,"$9,263.72 "
158,DENTAL AND ORAL DISEASES WITH CC,0.8891,2.7,3.4,"$5,238.09 "
159,DENTAL AND ORAL DISEASES WITHOUT CC/MCC,0.6558,2,2.4,"$3,863.61 "
163,MAJOR CHEST PROCEDURES WITH MCC,4.9611,9.1,11.7,"$29,228.07 "
164,MAJOR CHEST PROCEDURES WITH CC,2.6392,4.4,5.4,"$15,548.71 "
165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC,1.9136,2.6,3.1,"$11,273.88 "
166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,3.7913,8,10.6,"$22,336.25 "
167,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,1.8619,3.7,5,"$10,969.29 "
168,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,1.3691,2.1,2.6,"$8,065.98 "
175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,1.5442,4.1,5.1,"$9,097.58 "
176,PULMONARY EMBOLISM WITHOUT MCC,0.8867,2.6,3.2,"$5,223.95 "
177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,1.8453,5.4,6.8,"$10,871.49 "
178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,1.2059,4,5,"$7,104.50 "
179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,0.8711,3,3.7,"$5,132.04 "
180,RESPIRATORY NEOPLASMS WITH MCC,1.7378,4.9,6.4,"$10,238.16 "
181,RESPIRATORY NEOPLASMS WITH CC,1.1209,3.3,4.2,"$6,603.73 "
182,RESPIRATORY NEOPLASMS WITHOUT CC/MCC,0.7875,2.2,2.7,"$4,639.52 "
183,MAJOR CHEST TRAUMA WITH MCC,1.5556,4.3,5.5,"$9,164.74 "
184,MAJOR CHEST TRAUMA WITH CC,1.0394,3.1,3.7,"$6,123.57 "
185,MAJOR CHEST TRAUMA WITHOUT CC/MCC,0.7736,2.4,2.8,"$4,557.63 "
186,PLEURAL EFFUSION WITH MCC,1.5432,4.3,5.6,"$9,091.69 "
187,PLEURAL EFFUSION WITH CC,1.0322,3.2,4,"$6,081.15 "
188,PLEURAL EFFUSION WITHOUT CC/MCC,0.7281,2.4,3,"$4,289.56 "
189,PULMONARY EDEMA AND RESPIRATORY FAILURE,1.2248,3.6,4.6,"$7,215.85 "
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,1.1239,3.6,4.4,"$6,621.40 "
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,0.8831,2.9,3.5,"$5,202.74 "
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,0.6949,2.4,2.8,"$4,093.97 "
193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,1.3107,4.1,5.1,"$7,721.92 "
194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,0.863,3.1,3.7,"$5,084.32 "
195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,0.665,2.5,2.9,"$3,917.81 "
196,INTERSTITIAL LUNG DISEASE WITH MCC,1.7361,4.8,6.4,"$10,228.15 "
197,INTERSTITIAL LUNG DISEASE WITH CC,1.0056,3.2,4,"$5,924.44 "
198,INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC,0.7423,2.4,2.9,"$4,373.22 "
199,PNEUMOTHORAX WITH MCC,1.7876,5.1,6.6,"$10,531.56 "
200,PNEUMOTHORAX WITH CC,1.075,3.2,4,"$6,333.31 "
201,PNEUMOTHORAX WITHOUT CC/MCC,0.7095,2.3,2.9,"$4,179.98 "
202,BRONCHITIS AND ASTHMA WITH CC/MCC,0.9656,3,3.7,"$5,688.78 "
203,BRONCHITIS AND ASTHMA WITHOUT CC/MCC,0.7055,2.3,2.8,"$4,156.42 "
204,RESPIRATORY SIGNS AND SYMPTOMS,0.7925,2.1,2.7,"$4,668.97 "
205,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,1.6823,4.1,5.7,"$9,911.19 "
206,OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC,0.8842,2.5,3.1,"$5,209.22 "
207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,5.7264,11.9,14,"$33,736.80 "
208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,2.5423,4.9,6.8,"$14,977.83 "
215,OTHER HEART ASSIST SYSTEM IMPLANT,11.1579,4.7,7.8,"$65,736.21 "
216,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH MCC,10.4301,14.2,16.7,"$61,448.41 "
217,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH CC,6.4928,8.5,9.5,"$38,252.01 "
218,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITHOUT CC/MCC,5.1432,5.8,6.6,"$30,300.91 "
219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC,8.0551,8.9,10.9,"$47,456.22 "
220,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC,5.3999,5.9,6.5,"$31,813.24 "
221,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITHOUT CC/MCC,4.5523,3.9,4.5,"$26,819.65 "
222,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITH MCC",8.4211,9.4,11.4,"$49,612.49 "
223,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITHOUT MCC",6.2121,5.3,6.5,"$36,598.28 "
224,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH MCC",7.3622,7.5,9.2,"$43,374.03 "
225,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITHOUT MCC",5.6268,4.2,4.9,"$33,150.01 "
226,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITH MCC,6.6118,6.3,8.1,"$38,953.09 "
227,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,5.2519,3.2,4.1,"$30,941.31 "
228,OTHER CARDIOTHORACIC PROCEDURES WITH MCC,6.2153,8.3,10.7,"$36,617.13 "
229,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC,3.988,4.1,5.3,"$23,495.10 "
231,CORONARY BYPASS WITH PTCA WITH MCC,8.4902,10.7,12.3,"$50,019.59 "
232,CORONARY BYPASS WITH PTCA WITHOUT MCC,5.8983,7.7,8.5,"$34,749.54 "
233,CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITH MCC,7.7927,11.4,12.7,"$45,910.30 "
234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITHOUT MCC,5.3174,8.1,8.7,"$31,327.20 "
235,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,6.0302,8.6,9.8,"$35,526.62 "
236,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,4.0808,6,6.4,"$24,041.83 "
237,Major cardiovascular procedures w MCC/CC ,,,,"$29,859.00 "
238,MAJOR CARDIOVASC PROCEDURES W/O MCC,,,,"$20,109.00 "
239,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC,4.8087,10.4,13.2,"$28,330.22 "
240,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC,2.7899,7,8.6,"$16,436.56 "
241,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC,1.5914,4.4,5.2,"$9,375.65 "
242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,3.7225,5.2,6.7,"$21,930.92 "
243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,2.5326,3.1,3.8,"$14,920.69 "
244,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,2.0657,2.2,2.6,"$12,169.97 "
245,AICD GENERATOR PROCEDURES,5.414,4.7,6.5,"$31,896.31 "
