drg,Description,RW,GMLOS,AMLOS,national_payment_rate
735,"PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITHOUT CC/MCC",1.4135,1.7,2,"$8,327.56 "
736,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH MCC,4.2582,8.4,10.5,"$25,086.97 "
737,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH CC,2.0582,4.2,4.9,"$12,125.78 "
738,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITHOUT CC/MCC,1.4766,2.6,2.9,"$8,699.32 "
739,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH MCC,3.8217,6.6,9.5,"$22,515.35 "
740,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH CC,1.8,2.8,3.7,"$10,604.61 "
741,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITHOUT CC/MCC,1.2795,1.6,1.9,"$7,538.11 "
742,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITH CC/MCC,1.717,2.8,3.8,"$10,115.62 "
743,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITHOUT CC/MCC,1.1323,1.7,1.9,"$6,670.89 "
744,"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC",1.794,4.4,5.9,"$10,569.26 "
745,"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITHOUT CC/MCC",1.1705,2.2,2.6,"$6,895.94 "
746,"VAGINA, CERVIX AND VULVA PROCEDURES WITH CC/MCC",1.6094,3.2,4.9,"$9,481.70 "
747,"VAGINA, CERVIX AND VULVA PROCEDURES WITHOUT CC/MCC",0.938,1.5,1.8,"$5,526.18 "
748,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES,1.3483,1.6,2,"$7,943.44 "
749,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITH CC/MCC,2.7074,5.6,7.7,"$15,950.51 "
750,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,1.4659,2.3,2.8,"$8,636.28 "
754,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH MCC",1.821,5,7,"$10,728.33 "
755,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH CC",1.1276,3.3,4.3,"$6,643.20 "
756,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC",0.9161,2.1,2.5,"$5,397.16 "
757,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH MCC",1.5221,4.7,6.3,"$8,967.38 "
758,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH CC",0.967,3.6,4.4,"$5,697.03 "
759,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC",0.6832,2.7,3.2,"$4,025.04 "
760,MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITH CC/MCC,0.9226,2.6,3.4,"$5,435.45 "
761,MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITHOUT CC/MCC,0.59,1.8,2.3,"$3,475.96 "
765,Cesarean Section with CC/MCC,,,,"$28,762.00 "
766,CESAREAN SECTION W/O CC/MCC,,,,"$22,243.00 "
767,VAGINAL DELIVERY W STERILIZATION &/OR D&C,,,,"$7,466.18 "
768,VAGINAL DELIVERY WITH O.R. PROCEDURES EXCEPT STERILIZATION AND/OR D&C,1.1708,3.1,4.5,"$6,897.71 "
769,POSTPARTUM AND POST ABORTION DIAGNOSES WITH O.R. PROCEDURES,1.6204,2.9,4.3,"$9,546.51 "
770,"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",0.8881,1.8,2.3,"$5,232.20 "
774,"VAGINAL DELIVERY W COMPLICATING DIAGNOSES	",,,,"$27,110.00 "
775,Vaginal Delivery w/o complicating diagnoses,,,,"$17,175.00 "
776,POSTPARTUM AND POST ABORTION DIAGNOSES WITHOUT O.R. PROCEDURES,0.7688,2.5,3.4,"$4,529.35 "
777,ECTOPIC PREGNANCY,,,,
778,THREATENED ABORTION,,,,"$95,497.00 "
779,ABORTION WITHOUT D&C,1.0404,2,2.9,"$6,129.46 "
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,,,,"$36,670.00 "
782,Other antepartum diagnoses,,,,"$3,968.72 "
783,CESAREAN SECTION WITH STERILIZATION WITH MCC,1.8727,4.8,7.2,"$11,032.92 "
784,CESAREAN SECTION WITH STERILIZATION WITH CC,1.0949,3.3,4.4,"$6,450.55 "
785,CESAREAN SECTION WITH STERILIZATION WITHOUT CC/MCC,0.9153,2.7,3.3,"$5,392.44 "
786,CESAREAN SECTION WITHOUT STERILIZATION WITH MCC,1.5911,4.3,5.7,"$9,373.89 "
787,CESAREAN SECTION WITHOUT STERILIZATION WITH CC,1.0627,3.5,4.1,"$6,260.84 "
788,CESAREAN SECTION WITHOUT STERILIZATION WITHOUT CC/MCC,0.8871,3,3.2,"$5,226.31 "
789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY",1.7185,1.8,1.8,"$10,124.46 "
790,"EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE",5.6671,17.9,17.9,"$33,387.44 "
791,PREMATURITY WITH MAJOR PROBLEMS,3.8704,13.3,13.3,"$22,802.27 "
792,PREMATURITY WITHOUT MAJOR PROBLEMS,2.3353,8.6,8.6,"$13,758.30 "
793,FULL TERM NEONATE WITH MAJOR PROBLEMS,3.9757,4.7,4.7,"$23,422.64 "
794,NEONATE WITH OTHER SIGNIFICANT PROBLEMS,1.4072,3.4,3.4,"$8,290.45 "
795,NORMAL NEWBORN,0.1905,3.1,3.1,"$1,122.32 "
796,VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C WITH MCC,1.0679,3.6,5.7,"$6,291.48 "
797,VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C WITH CC,0.9199,2.4,2.6,"$5,419.54 "
798,VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C WITHOUT CC/MCC,0.8273,2.1,2.3,"$4,874.00 "
799,SPLENECTOMY WITH MCC,5.1439,7.8,10.7,"$30,305.03 "
800,SPLENECTOMY WITH CC,2.9514,5,6.4,"$17,388.03 "
801,SPLENECTOMY WITHOUT CC/MCC,1.6835,2.6,3.1,"$9,918.26 "
802,OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITH MCC,3.7087,7.5,11,"$21,849.62 "
803,OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITH CC,1.8848,3.9,5.2,"$11,104.20 "
804,OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITHOUT CC/MCC,1.3642,2,2.5,"$8,037.12 "
805,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITH MCC,1.0268,2.9,4,"$6,049.34 "
806,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITH CC,0.7339,2.3,2.7,"$4,323.74 "
807,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITHOUT CC/MCC,0.6411,2.1,2.3,"$3,777.01 "
808,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITH MCC,2.1779,5.3,7.3,"$12,830.99 "
809,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITH CC,1.2217,3.5,4.4,"$7,197.58 "
810,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITHOUT CC/MCC,0.9607,2.5,3.2,"$5,659.92 "
811,RED BLOOD CELL DISORDERS WITH MCC,1.3776,3.6,4.8,"$8,116.06 "
812,RED BLOOD CELL DISORDERS WITHOUT MCC,0.8797,2.7,3.4,"$5,182.71 "
813,COAGULATION DISORDERS,1.5447,3.6,4.7,"$9,100.52 "
814,RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH MCC,1.8907,4.5,6.5,"$11,138.96 "
815,RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH CC,0.9925,2.9,3.8,"$5,847.26 "
816,RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITHOUT CC/MCC,0.6609,2.2,2.6,"$3,893.66 "
817,OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURES WITH MCC,2.3018,4.1,6.6,"$13,560.94 "
818,OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURES WITH CC,1.3165,3,4.2,"$7,756.09 "
819,OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURES WITHOUT CC/MCC,0.9979,1.8,2.2,"$5,879.08 "
820,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITH MCC,5.6873,10.6,14.7,"$33,506.44 "
821,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITH CC,2.1551,3.7,5.4,"$12,696.66 "
822,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITHOUT CC/MCC,1.2516,1.8,2.3,"$7,373.74 "
823,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH MCC,4.4971,10.3,13.6,"$26,494.44 "
824,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH CC,2.3627,5.3,7.1,"$13,919.73 "
825,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITHOUT CC/MCC,1.4007,2.4,3.4,"$8,252.15 "
826,"MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R.
PROCEDURES WITH MCC",5.0368,9.9,13.5,"$29,674.06 "
827,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURES WITH CC,2.4976,4.9,6.2,"$14,714.49 "
828,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURES WITHOUT CC/MCC,1.6777,2.8,3.4,"$9,884.09 "
829,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER PROCEDURES WITH CC/MCC,3.2057,6.2,9,"$18,886.22 "
830,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER PROCEDURES WITHOUT CC/MCC,1.4765,2.3,2.9,"$8,698.73 "
831,OTHER ANTEPARTUM DIAGNOSES WITHOUT O.R. PROCEDURES WITH MCC,1.1211,3.4,4.7,"$6,604.90 "
832,OTHER ANTEPARTUM DIAGNOSES WITHOUT O.R. PROCEDURES WITH CC,0.7798,2.5,4,"$4,594.15 "
833,OTHER ANTEPARTUM DIAGNOSES WITHOUT O.R. PROCEDURES WITHOUT CC/MCC,0.536,1.9,2.7,"$3,157.82 "
834,ACUTE LEUKEMIA WITHOUT MAJOR O.R. PROCEDURES WITH MCC,6.0501,10,16.6,"$35,643.86 "
835,ACUTE LEUKEMIA WITHOUT MAJOR O.R. PROCEDURES WITH CC,2.1137,4.2,6.6,"$12,452.76 "
836,ACUTE LEUKEMIA WITHOUT MAJOR O.R. PROCEDURES WITHOUT CC/MCC,1.1696,2.7,3.9,"$6,890.64 "
837,CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS OR WITH HIGH DOSE CHEMOTHERAPY AGENT WITH MCC,5.6991,11.5,17.1,"$33,575.96 "
838,CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH CC OR HIGH DOSE CHEMOTHERAPY AGENT,2.2588,5.5,7.3,"$13,307.61 "
839,CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITHOUT CC/MCC,1.4863,4.4,4.9,"$8,756.46 "
840,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH MCC,3.2157,6.7,9.6,"$18,945.14 "
841,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH CC,1.6208,4,5.4,"$9,548.86 "
842,LYMPHOMA AND NON-ACUTE LEUKEMIA WITHOUT CC/MCC,1.0953,2.8,3.6,"$6,452.91 "
843,OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITH MCC,1.9029,5.3,7.2,"$11,210.84 "
844,OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITH CC,1.1805,3.5,4.7,"$6,954.86 "
845,OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITHOUT CC/MCC,0.8474,2.6,3.4,"$4,992.41 "
846,CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH MCC,2.6699,5.9,7.9,"$15,729.58 "
847,CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH CC,1.3352,3.6,4.1,"$7,866.26 "
848,CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITHOUT CC/MCC,1.029,3,3.5,"$6,062.30 "
849,RADIOTHERAPY,2.4875,6.2,9.3,"$14,654.98 "
853,INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH MCC,4.9446,9.6,12.5,"$29,130.86 "
854,INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH CC,2.0944,5.3,6.6,"$12,339.05 "
855,INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITHOUT CC/MCC,1.495,3.3,4,"$8,807.72 "
856,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITH MCC,4.5457,9,12,"$26,780.76 "
857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITH CC,2.0347,5.2,6.5,"$11,987.33 "
858,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITHOUT CC/MCC,1.3484,3.5,4.4,"$7,944.03 "
862,POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITH MCC,1.8788,5,6.6,"$11,068.86 "
863,POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITHOUT MCC,0.9774,3.4,4.2,"$5,758.30 "
864,FEVER AND INFLAMMATORY CONDITIONS,0.875,2.7,3.3,"$5,155.02 "
865,VIRAL ILLNESS WITH MCC,1.4789,3.9,5.5,"$8,712.87 "
866,VIRAL ILLNESS WITHOUT MCC,0.8372,2.7,3.4,"$4,932.32 "
867,OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITH MCC,2.2295,5.5,7.6,"$13,134.99 "
868,OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITH CC,1.0584,3.5,4.4,"$6,235.51 "
869,OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITHOUT CC/MCC,0.726,2.5,3,"$4,277.19 "
870,SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS,6.4248,12.4,14.5,"$37,851.39 "
871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,1.8682,4.8,6.2,"$11,006.41 "
872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,1.0216,3.5,4.2,"$6,018.71 "
876,O.R. PROCEDURES WITH PRINCIPAL DIAGNOSIS OF MENTAL ILLNESS,3.2613,7,13.7,"$19,213.79 "
880,ACUTE ADJUSTMENT REACTION AND PSYCHOSOCIAL DYSFUNCTION,0.8636,2.6,3.7,"$5,087.86 "
881,DEPRESSIVE NEUROSES,0.8014,3.9,5.3,"$4,721.41 "
882,NEUROSES EXCEPT DEPRESSIVE,0.823,3.2,4.7,"$4,848.66 "
883,DISORDERS OF PERSONALITY AND IMPULSE CONTROL,1.5783,5.1,9.8,"$9,298.48 "
884,ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY,1.4438,4.5,7.3,"$8,506.08 "
885,PSYCHOSES,1.2371,5.9,8.8,"$7,288.31 "
886,BEHAVIORAL AND DEVELOPMENTAL DISORDERS,1.2215,4.3,7.6,"$7,196.41 "
887,OTHER MENTAL DISORDER DIAGNOSES,1.0787,3,4.7,"$6,355.11 "
894,"ALCOHOL, DRUG ABUSE OR DEPENDENCE, LEFT AMA",0.5475,2,2.7,"$3,225.57 "
895,"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITH REHABILITATION THERAPY",1.592,8.9,11.9,"$9,379.19 "
896,"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITH MCC",1.777,4.9,7,"$10,469.11 "
897,"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITHOUT MCC",0.8255,3.4,4.3,"$4,863.39 "
901,WOUND DEBRIDEMENTS FOR INJURIES WITH MCC,4.2622,8.8,12.9,"$25,110.54 "
902,WOUND DEBRIDEMENTS FOR INJURIES WITH CC,1.9624,4.8,6.6,"$11,561.38 "
903,WOUND DEBRIDEMENTS FOR INJURIES WITHOUT CC/MCC,1.1344,2.6,3.4,"$6,683.26 "
904,SKIN GRAFTS FOR INJURIES WITH CC/MCC,3.7214,7.1,10.6,"$21,924.44 "
905,SKIN GRAFTS FOR INJURIES WITHOUT CC/MCC,1.6466,3.3,4.3,"$9,700.86 "
906,HAND PROCEDURES FOR INJURIES,1.7938,2.8,4.5,"$10,568.08 "
907,OTHER O.R. PROCEDURES FOR INJURIES WITH MCC,3.9571,6.9,9.6,"$23,313.06 "
908,OTHER O.R. PROCEDURES FOR INJURIES WITH CC,2.0404,3.9,5.2,"$12,020.91 "
909,OTHER O.R. PROCEDURES FOR INJURIES WITHOUT CC/MCC,1.3746,2.4,2.9,"$8,098.39 "
913,TRAUMATIC INJURY WITH MCC,1.6364,3.7,5.5,"$9,640.77 "
914,TRAUMATIC INJURY WITHOUT MCC,0.8886,2.5,3.2,"$5,235.14 "
915,ALLERGIC REACTIONS WITH MCC,1.6976,3.7,5,"$10,001.33 "
916,ALLERGIC REACTIONS WITHOUT MCC,0.6573,1.8,2.2,"$3,872.45 "
917,POISONING AND TOXIC EFFECTS OF DRUGS WITH MCC,1.4775,3.5,4.9,"$8,704.62 "
918,POISONING AND TOXIC EFFECTS OF DRUGS WITHOUT MCC,0.7911,2.3,3.1,"$4,660.73 "
919,COMPLICATIONS OF TREATMENT WITH MCC,1.8344,4.2,6,"$10,807.28 "
920,COMPLICATIONS OF TREATMENT WITH CC,1.0273,2.9,3.8,"$6,052.29 "
921,COMPLICATIONS OF TREATMENT WITHOUT CC/MCC,0.6914,2.1,2.6,"$4,073.35 "
922,"OTHER INJURY, POISONING AND TOXIC EFFECT DIAGNOSES WITH MCC",1.5876,4.1,6.3,"$9,353.27 "
923,"OTHER INJURY, POISONING AND TOXIC EFFECT DIAGNOSES WITHOUT MCC",0.9304,2.7,4.3,"$5,481.41 "
927,EXTENSIVE BURNS OR FULL THICKNESS BURNS WITH MV >96 HOURS WITH SKIN GRAFT,21.0309,26,35.4,"$123,902.50 "
928,FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITH CC/MCC,6.5262,11.7,16.4,"$38,448.78 "
929,FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITHOUT CC/MCC,3.0089,5.9,7.9,"$17,726.78 "
933,EXTENSIVE BURNS OR FULL THICKNESS BURNS WITH MV >96 HOURS WITHOUT SKIN GRAFT,2.2576,2.4,4.1,"$13,300.54 "
934,FULL THICKNESS BURN WITHOUT SKIN GRAFT OR INHALATION INJURY,1.9403,4.3,6.8,"$11,431.18 "
935,NON-EXTENSIVE BURNS,1.9333,3.6,5.5,"$11,389.94 "
939,O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITH MCC,3.3862,6.6,10,"$19,949.63 "
940,O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITH CC,2.2176,3.5,4.9,"$13,064.88 "
941,O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITHOUT CC/MCC,1.9247,2.2,2.8,"$11,339.27 "
945,REHABILITATION WITH CC/MCC,1.4847,5,7.1,"$8,747.04 "
946,REHABILITATION WITHOUT CC/MCC,1.1272,3.2,4.3,"$6,640.84 "
947,SIGNS AND SYMPTOMS WITH MCC,1.1901,3.5,4.8,"$7,011.41 "
948,SIGNS AND SYMPTOMS WITHOUT MCC,0.7856,2.6,3.3,"$4,628.32 "
949,AFTERCARE WITH CC/MCC,1.1071,4.3,6.1,"$6,522.42 "
950,AFTERCARE WITHOUT CC/MCC,0.7389,3,4.3,"$4,353.19 "
951,OTHER FACTORS INFLUENCING HEALTH STATUS,0.5582,1.8,2.6,"$3,288.61 "
955,CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAUMA,6.288,7.3,11.1,"$37,045.44 "
956,"LIMB REATTACHMENT, HIP AND FEMUR PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA",3.8488,6,7.4,"$22,675.01 "
957,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH MCC,7.4208,9.1,13.1,"$43,719.27 "
958,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH CC,4.2054,6.7,8.2,"$24,775.90 "
959,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITHOUT CC/MCC,2.7342,4.2,5.1,"$16,108.40 "
963,OTHER MULTIPLE SIGNIFICANT TRAUMA WITH MCC,2.7242,5.2,7.6,"$16,049.49 "
964,OTHER MULTIPLE SIGNIFICANT TRAUMA WITH CC,1.4884,3.9,4.9,"$8,768.83 "
965,OTHER MULTIPLE SIGNIFICANT TRAUMA WITHOUT CC/MCC,0.9129,2.6,3.2,"$5,378.30 "
969,HIV WITH EXTENSIVE O.R. PROCEDURES WITH MCC,5.7874,11.1,15.5,"$34,096.18 "
970,HIV WITH EXTENSIVE O.R. PROCEDURES WITHOUT MCC,2.9451,6.8,9.2,"$17,350.91 "
974,HIV WITH MAJOR RELATED CONDITION WITH MCC,2.6857,6.3,8.8,"$15,822.67 "
975,HIV WITH MAJOR RELATED CONDITION WITH CC,1.2791,4,5.3,"$7,535.75 "
976,HIV WITH MAJOR RELATED CONDITION WITHOUT CC/MCC,0.9491,3,4.4,"$5,591.58 "
977,HIV WITH OR WITHOUT OTHER RELATED CONDITION,1.3208,3.6,5,"$7,781.43 "
981,EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC,4.6078,8.4,11.7,"$27,146.62 "
982,EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC,2.5412,4.7,6.2,"$14,971.35 "
983,EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,1.6548,2.3,3,"$9,749.17 "
985,PROSTATIC O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,,,,
987,NON-EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC,3.2621,7.7,10.4,"$19,218.50 "
988,NON-EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC,1.6807,4.3,5.7,"$9,901.76 "
989,NON-EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,1.1159,2.3,3,"$6,574.27 "
998,PRINCIPAL DIAGNOSIS INVALID AS DISCHARGE DIAGNOSIS,,,,
999,UNGROUPABLE,,,,